ホウコウ			彷徨
サマヨウ			彷徨う
ホンロウ			翻弄
ヘイタン			兵站
ベンケイ			弁慶
ダンガイ			弾劾
チョリュウ		瀦溜
ヒョウタン		瓢箪
タンス			箪笥
タンス			田圃
ベンチ			胼胝
チャブダイ		卓袱台
ダンラン			団欒
テイデン			停電
ショクタク		嘱託
コウカン			槓杆
タンテイ			探偵
セッケン			石鹸
イイン			医院
イカン			遺憾
イカク			威嚇
サバグ			砂漠
スイコウ			推敲
スイリン			垂綸
エナガ			韈雀
コンスイ			昏睡
スワ			諏訪
タンコウ			炭坑
ライセキ			賚錫
フナズシ			鮒鮨
カシ			瑕疵
カセン			河川
カレー			咖喱
クンユウ			薫蕕
フウボウ			風貌
カカク			価格
カヤブキ			萱葺
カイボウ			解剖
スルガ			敦賀
ゲンカン			玄関
ミナス			見做す
ミナシ			見做し
ガビョウ			画鋲
カゴ			駕籠
カンガイ			灌漑
カンパイ			乾杯
カツシカ			葛飾
カンキツ			柑橘
ナオスケ			直弼
ナオカツ			尚且つ
カンボジア		柬埔寨
カンシャク		癇癪
ドウカツ			恫喝
カッサイ			喝采
カリソメ			苟且/仮初め
コウショ			苟且
コウゲイ			虹霓
タイトウ			螮蝀
タイトウセン		螮蝀泉
ホニュウ			哺乳
ラッキョウ		辣韮
ハツカ			廿日
ニンキョウ		任侠
テニオハ			弖爾乎波
ニンシン			妊娠
キセン			貴賎
チョウト			刁斗
ヨウドウ			窰洞
ドウクツ			洞窟
トウタ			淘汰
ラクダ			駱駝
アルパカ			羊駱駝
ライコウ			雷汞
マンダラ			曼荼羅
ラテン			羅甸
カクラン			攪乱
カクハン			攪拌
ハンラン			氾濫
ランショウ		濫觴
シボウ			脂肪
チンシツ			疢疾
シンタイ			身体
フシクレ			節榑
タイセイ			頽勢
ヒッパク			逼迫
ガイセン			凱旋
センセイ			先制
セキレイ			鶺鴒
ゼセイ			是正
セイフク			征服
ゼンザイ			善哉
セダイ			世代
コツゼン			忽然
キョウサク		狭窄
カシャク			呵責
セキツイ			脊椎
ウチュウ			宇宙
ドウチャク		撞着
チョチク			貯蓄
シャガ			著莪
テイネイ			丁寧
サイジャク		纔着
チミモウリョウ		魑魅魍魎
エントウ			遠投
メイレイ			螟蛉
ホウジョウ		豊穣
ドジョウ			土壌
コウコツ			恍惚
トンボ			蜻蛉
トッサ			咄嗟
シタザサエ		下支え
シシツ			資質
シシュウ			刺繍
ジロウ			痔瘻
シット			嫉妬
シゴト			仕事
ジケン			事件
シジュン			諮詢
カジツ			果実
ジッセン			実践
カツラギ			葛城
オイラン			花魁
ケイソク			計測
イチレンタクショウ	一蓮托生
レンタク			蓮托
カンキョ			函渠
ボックスカルバート	函渠
ハツモウデ		初詣
ハバタキ			羽搏き
ハバタク			羽搏く
パッテキ			抜擢
バーム			棕櫚
バイバイ			売買
ハッコウ			醗酵
ギヨウ			伎癢
カキョウ			佳境
キュウキョク		究極
メッキ			鍍金
キンケン			金券
モロコシ			蜀黍
ショクショ		蜀黍
セッキ			聶記
キキョウ			桔梗
コウソク			梗塞
キソ			基礎
ギャクサン		逆算
ギセイ			犠牲
キリン			麒麟
セッサ			切磋
ユウヒ			熊羆
ヤカン			薬罐
キョウケン		狂狷
ザンゲ			懺悔
クモ			蜘蛛
メマイ			眩暈
コントン			混沌
コウショウ		交渉
マヒ			痳痺
シンチュウ		真鍮
タカツキ			籩豆
マイコ			舞妓
ワイロ			賄賂
ゴウマン			傲慢
マサツ			摩擦
エンドウ			豌豆
カノウ			嘉納
テイショク		觝触
インコウ			咽喉
ザンシ			残滓
ザンサイ			残滓
ハンチュウ		範疇
オウト			嘔吐
バラ			薔薇
ショクバイ		触媒
ゲッシ			齧歯
チソウ			馳走
ボシ			母趾
ハイリョ			配慮
バッサイ			伐採
バンサン			晩餐
テイシン※鍼		鍉鍼
コウリ			鴻離
リンパ			淋巴
カンリン			翰林
ヤブサカ			吝さか
リンショク		吝嗇
ケチ			吝嗇
リンゴ			林檎
リュウチョウ		流暢
ハンリョ			伴侶
ワガハイ			吾輩
ザンシン※鍼		鑱鍼
ハイカイ			徘徊
ハバツ			派閥
カイリ			乖離
ショウヨウ		逍遥
デイコ			梯梧
デイゴ			梯梧
シレツ			熾烈
レイロウ			玲瓏
レモン			檸檬
ギフ			岐阜
スウキキョウ		枢機卿
キカイ			機械
キョウコウ		僥倖
キンシン			謹慎
キンキ			近畿
キョギョウ		虚業
トグロ			蜷局
アツレキ			軋轢
ケンコウ			健康
ケンズイ			遣隋
ケンズイシ		遣隋使
ケンソン			謙遜
ケンケツ			献血
ケッショウ		血漿
ケイヒン			迎賓
ケンサク			検索
カイケツ			怪傑
カンカンガクガク		侃侃諤諤
ケイレン			痙攣
ケンカ			喧囂
ケンケンゴウゴウ		喧喧囂囂
ゲンコウ			健康
ケサ			袈裟
ケイハン			畦畔
ケイイ			経緯
ケイチツ			啓蟄
ムスメムコ		娘婿
ハチュウ			爬虫
トウカイ			韜晦
ジョウトウ		常套
ツジツマ			辻褄
ヅヅジ			躑躅
タクシ			沢岻
ユウカイ			誘拐
ザクロ			柘榴
サクソウ			錯綜
ソウゾウ			想像
ギオン			祇園
ソゴ			齟齬
ソガイ			疎外
キソン			毀損
ギソウ			艤装
ソツウ			疏通
ソショウ			訴訟
ソウゾク			相続
エンユウ			苑囿
ウッソウ			蔚蒼
ヒゾウ			脾臓
コーヒー			珈琲/咖啡
カフェイン		咖啡涅
ビワ			枇杷/琵琶
スイカ※炎		燧火
ニンジン			人蔘
ヒカク			比較
ビンロウ			檳榔
ケンケンヒキュウ		蹇蹇匪躬
コロアイ			頃合
コンニャク		蒟蒻
ウスイ			碓氷
コショウ			胡椒
コウモリ			蝙蝠
コウカツ			狡猾
カイ			甲斐
コトサラ			殊更
キャヒア			鱣子
キッコウ			拮抗
ゴビュウ			誤謬
ミコシ			御輿
ミミズ			蚯蚓
アメンボ			水黽
スイミャク		水脈
ミソ			味噌
リョクバン		緑礬
ロクバン			緑礬
ミョウバン		明礬
タクマ			琢磨
サガ※姓			嵯峨
ショウナン		湘南
ビシャ			毘沙
ビシャモン		毘沙門
サンラン			燦爛
オウサツ			鏖殺
チュウミツ		稠密
チョウミツ		稠密
サンゴショウ		珊瑚礁
センモウ			譫妄
